Country,Date,Name,Runs,Balls,Batsman Profile
Bangladesh,Sep 4-7 2017,Tamim Iqbal,9,34,https://www.espncricinfo.com/ci/content/player/56194.html
Bangladesh,Sep 4-7 2017,Soumya Sarkar,33,81,https://www.espncricinfo.com/ci/content/player/436677.html
Bangladesh,Sep 4-7 2017,Imrul Kayes,4,11,https://www.espncricinfo.com/ci/content/player/280734.html
Bangladesh,Sep 4-7 2017,Mominul Haque,31,67,https://www.espncricinfo.com/ci/content/player/373696.html
Bangladesh,Sep 4-7 2017,Shakib Al Hasan,24,52,https://www.espncricinfo.com/ci/content/player/56143.html
Bangladesh,Sep 4-7 2017,Mushfiqur Rahim (c) †,68,166,https://www.espncricinfo.com/ci/content/player/56029.html
Bangladesh,Sep 4-7 2017,Sabbir Rahman,66,113,https://www.espncricinfo.com/ci/content/player/373538.html
Bangladesh,Sep 4-7 2017,Nasir Hossain,45,97,https://www.espncricinfo.com/ci/content/player/300618.html
Bangladesh,Sep 4-7 2017,Mehidy Hasan Miraz,11,45,https://www.espncricinfo.com/ci/content/player/629063.html
Bangladesh,Sep 4-7 2017,Taijul Islam,9,12,https://www.espncricinfo.com/ci/content/player/401057.html
Bangladesh,Sep 4-7 2017,Mustafizur Rahman,0,2,https://www.espncricinfo.com/ci/content/player/330902.html
