Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Sep 4-7 2017,Mehidy Hasan Miraz,38,6,93,3,https://www.espncricinfo.com/ci/content/player/629063.html
Australia,Sep 4-7 2017,Mustafizur Rahman,20.5,2,84,4,https://www.espncricinfo.com/ci/content/player/330902.html
Australia,Sep 4-7 2017,Shakib Al Hasan,31,3,82,1,https://www.espncricinfo.com/ci/content/player/56143.html
Australia,Sep 4-7 2017,Taijul Islam,21,1,78,1,https://www.espncricinfo.com/ci/content/player/401057.html
Australia,Sep 4-7 2017,Nasir Hossain,6,2,14,0,https://www.espncricinfo.com/ci/content/player/300618.html
Australia,Sep 4-7 2017,Mominul Haque,2,0,6,0,https://www.espncricinfo.com/ci/content/player/373696.html
Australia,Sep 4-7 2017,Sabbir Rahman,1,0,9,0,https://www.espncricinfo.com/ci/content/player/373538.html
