Country,Date,Name,Runs,Balls,Batsman Profile
Australia,May 22-26 2008,PA Jaques,9,23,https://www.espncricinfo.com/ci/content/player/6060.html
Australia,May 22-26 2008,SM Katich,12,11,https://www.espncricinfo.com/ci/content/player/6128.html
Australia,May 22-26 2008,RT Ponting (c),158,224,https://www.espncricinfo.com/ci/content/player/7133.html
Australia,May 22-26 2008,MEK Hussey,56,146,https://www.espncricinfo.com/ci/content/player/5939.html
Australia,May 22-26 2008,BJ Hodge,67,122,https://www.espncricinfo.com/ci/content/player/5674.html
Australia,May 22-26 2008,MG Johnson,22,53,https://www.espncricinfo.com/ci/content/player/6033.html
Australia,May 22-26 2008,A Symonds,70,115,https://www.espncricinfo.com/ci/content/player/7702.html
Australia,May 22-26 2008,BJ Haddin †,11,35,https://www.espncricinfo.com/ci/content/player/5560.html
Australia,May 22-26 2008,B Lee,4,6,https://www.espncricinfo.com/ci/content/player/6278.html
Australia,May 22-26 2008,SR Clark,3,16,https://www.espncricinfo.com/ci/content/player/4582.html
Australia,May 22-26 2008,SCG MacGill,2,12,https://www.espncricinfo.com/ci/content/player/6441.html
