Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Mar 1-5 2018,M Morkel,15,4,47,3,https://www.espncricinfo.com/ci/content/player/46538.html
Australia,Mar 1-5 2018,VD Philander,14,4,35,0,https://www.espncricinfo.com/ci/content/player/46945.html
Australia,Mar 1-5 2018,KA Maharaj,29.4,4,102,4,https://www.espncricinfo.com/ci/content/player/267724.html
Australia,Mar 1-5 2018,K Rabada,13,5,28,2,https://www.espncricinfo.com/ci/content/player/550215.html
Australia,Mar 1-5 2018,D Elgar,3,1,10,1,https://www.espncricinfo.com/ci/content/player/230852.html
