Country,Date,Name,Runs,Balls,Batsman Profile
England,Jan 1-5 1995,GA Gooch,1,9,https://www.espncricinfo.com/ci/content/player/13399.html
England,Jan 1-5 1995,MA Atherton (c),88,267,https://www.espncricinfo.com/ci/content/player/8579.html
England,Jan 1-5 1995,GA Hick,2,13,https://www.espncricinfo.com/ci/content/player/14187.html
England,Jan 1-5 1995,GP Thorpe,10,17,https://www.espncricinfo.com/ci/content/player/21537.html
England,Jan 1-5 1995,JP Crawley,72,226,https://www.espncricinfo.com/ci/content/player/10870.html
England,Jan 1-5 1995,MW Gatting,0,4,https://www.espncricinfo.com/ci/content/player/13340.html
England,Jan 1-5 1995,ARC Fraser,27,96,https://www.espncricinfo.com/ci/content/player/12909.html
England,Jan 1-5 1995,SJ Rhodes †,1,2,https://www.espncricinfo.com/ci/content/player/19374.html
England,Jan 1-5 1995,D Gough,51,56,https://www.espncricinfo.com/ci/content/player/13411.html
England,Jan 1-5 1995,DE Malcolm,29,18,https://www.espncricinfo.com/ci/content/player/16885.html
England,Jan 1-5 1995,PCR Tufnell,4,17,https://www.espncricinfo.com/ci/content/player/21611.html
