Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Nov 22-26 2012,DW Steyn,17,5,50,2,https://www.espncricinfo.com/ci/content/player/47492.html
Australia,Nov 22-26 2012,M Morkel,19,4,50,3,https://www.espncricinfo.com/ci/content/player/46538.html
Australia,Nov 22-26 2012,Imran Tahir,14,1,80,0,https://www.espncricinfo.com/ci/content/player/40618.html
Australia,Nov 22-26 2012,RK Kleinveldt,19,2,65,3,https://www.espncricinfo.com/ci/content/player/45949.html
Australia,Nov 22-26 2012,F du Plessis,1,0,8,0,https://www.espncricinfo.com/ci/content/player/44828.html
