Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Dec 17-20 2014,I Sharma,23,2,117,3,https://www.espncricinfo.com/ci/content/player/236779.html
Australia,Dec 17-20 2014,VR Aaron,26,1,145,2,https://www.espncricinfo.com/ci/content/player/360911.html
Australia,Dec 17-20 2014,UT Yadav,25,4,101,3,https://www.espncricinfo.com/ci/content/player/376116.html
Australia,Dec 17-20 2014,R Ashwin,33.4,4,128,2,https://www.espncricinfo.com/ci/content/player/26421.html
Australia,Dec 17-20 2014,RG Sharma,2,0,10,0,https://www.espncricinfo.com/ci/content/player/34102.html
