Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Jan 3-7 2011,JM Anderson,30.1,7,66,4,https://www.espncricinfo.com/ci/content/player/8608.html
Australia,Jan 3-7 2011,CT Tremlett,26,9,71,1,https://www.espncricinfo.com/ci/content/player/21650.html
Australia,Jan 3-7 2011,TT Bresnan,30,5,89,3,https://www.espncricinfo.com/ci/content/player/9310.html
Australia,Jan 3-7 2011,GP Swann,16,4,37,1,https://www.espncricinfo.com/ci/content/player/20431.html
Australia,Jan 3-7 2011,PD Collingwood,4,2,5,1,https://www.espncricinfo.com/ci/content/player/10772.html
