Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Dec 26-29 2000,CA Walsh,33,6,62,2,https://www.espncricinfo.com/ci/content/player/53216.html
Australia,Dec 26-29 2000,M Dillon,21,2,76,4,https://www.espncricinfo.com/ci/content/player/51651.html
Australia,Dec 26-29 2000,NAM McLean,27,5,95,2,https://www.espncricinfo.com/ci/content/player/52430.html
Australia,Dec 26-29 2000,CEL Stuart,15,4,52,2,https://www.espncricinfo.com/ci/content/player/52960.html
Australia,Dec 26-29 2000,MN Samuels,14,0,56,0,https://www.espncricinfo.com/ci/content/player/52983.html
Australia,Dec 26-29 2000,JC Adams,4,0,19,0,https://www.espncricinfo.com/ci/content/player/51100.html
