Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
England,Jan 2-5 2007,GD McGrath,29,8,67,3,https://www.espncricinfo.com/ci/content/player/6565.html
England,Jan 2-5 2007,B Lee,22,5,75,3,https://www.espncricinfo.com/ci/content/player/6278.html
England,Jan 2-5 2007,SR Clark,24,6,62,3,https://www.espncricinfo.com/ci/content/player/4582.html
England,Jan 2-5 2007,SK Warne,22.4,1,69,1,https://www.espncricinfo.com/ci/content/player/8166.html
England,Jan 2-5 2007,A Symonds,6,2,13,0,https://www.espncricinfo.com/ci/content/player/7702.html
