Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Nov 16-20 2007,SL Malinga,12,0,61,1,https://www.espncricinfo.com/ci/content/player/49758.html
Australia,Nov 16-20 2007,CRD Fernando,12,1,50,0,https://www.espncricinfo.com/ci/content/player/48835.html
Australia,Nov 16-20 2007,M Muralitharan,20,1,90,1,https://www.espncricinfo.com/ci/content/player/49636.html
Australia,Nov 16-20 2007,ST Jayasuriya,2,0,6,0,https://www.espncricinfo.com/ci/content/player/49209.html
