Country,Date,Name,Runs,Balls,Batsman Profile
Australia,Dec 24-29 1994,MJ Slater,3,19,https://www.espncricinfo.com/ci/content/player/7629.html
Australia,Dec 24-29 1994,MA Taylor (c),9,41,https://www.espncricinfo.com/ci/content/player/7924.html
Australia,Dec 24-29 1994,DC Boon,41,100,https://www.espncricinfo.com/ci/content/player/4169.html
Australia,Dec 24-29 1994,ME Waugh,71,155,https://www.espncricinfo.com/ci/content/player/8189.html
Australia,Dec 24-29 1994,MG Bevan,3,23,https://www.espncricinfo.com/ci/content/player/4144.html
Australia,Dec 24-29 1994,SR Waugh,94,191,https://www.espncricinfo.com/ci/content/player/8192.html
Australia,Dec 24-29 1994,IA Healy †,17,42,https://www.espncricinfo.com/ci/content/player/5628.html
Australia,Dec 24-29 1994,SK Warne,6,25,https://www.espncricinfo.com/ci/content/player/8166.html
Australia,Dec 24-29 1994,TBA May,9,31,https://www.espncricinfo.com/ci/content/player/6534.html
Australia,Dec 24-29 1994,CJ McDermott,0,3,https://www.espncricinfo.com/ci/content/player/6551.html
Australia,Dec 24-29 1994,DW Fleming,16,19,https://www.espncricinfo.com/ci/content/player/5239.html
