Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Dec 24-29 1994,DE Malcolm,28.3,4,78,1,https://www.espncricinfo.com/ci/content/player/16885.html
Australia,Dec 24-29 1994,PAJ DeFreitas,23,4,66,2,https://www.espncricinfo.com/ci/content/player/11865.html
Australia,Dec 24-29 1994,D Gough,26,9,60,4,https://www.espncricinfo.com/ci/content/player/13411.html
Australia,Dec 24-29 1994,PCR Tufnell,28,7,59,2,https://www.espncricinfo.com/ci/content/player/21611.html
Australia,Dec 24-29 1994,GA Hick,2,0,9,0,https://www.espncricinfo.com/ci/content/player/14187.html
