Country,Date,Name,Runs,Balls,Batsman Profile
England,Dec 24-29 1994,MA Atherton (c),44,157,https://www.espncricinfo.com/ci/content/player/8579.html
England,Dec 24-29 1994,AJ Stewart,16,26,https://www.espncricinfo.com/ci/content/player/20372.html
England,Dec 24-29 1994,GA Hick,23,33,https://www.espncricinfo.com/ci/content/player/14187.html
England,Dec 24-29 1994,GP Thorpe,51,116,https://www.espncricinfo.com/ci/content/player/21537.html
England,Dec 24-29 1994,GA Gooch,15,52,https://www.espncricinfo.com/ci/content/player/13399.html
England,Dec 24-29 1994,MW Gatting,9,24,https://www.espncricinfo.com/ci/content/player/13340.html
England,Dec 24-29 1994,D Gough,20,52,https://www.espncricinfo.com/ci/content/player/13411.html
England,Dec 24-29 1994,SJ Rhodes †,0,11,https://www.espncricinfo.com/ci/content/player/19374.html
England,Dec 24-29 1994,PAJ DeFreitas,14,19,https://www.espncricinfo.com/ci/content/player/11865.html
England,Dec 24-29 1994,DE Malcolm,11,13,https://www.espncricinfo.com/ci/content/player/16885.html
England,Dec 24-29 1994,PCR Tufnell,0,4,https://www.espncricinfo.com/ci/content/player/21611.html
