Country,Date,Name,Runs,Balls,Batsman Profile
Zimbabwe,Oct 14-17 1999,GJ Rennie,18,58,https://www.espncricinfo.com/ci/content/player/55713.html
Zimbabwe,Oct 14-17 1999,GW Flower,1,3,https://www.espncricinfo.com/ci/content/player/55429.html
Zimbabwe,Oct 14-17 1999,MW Goodwin,0,1,https://www.espncricinfo.com/ci/content/player/55456.html
Zimbabwe,Oct 14-17 1999,ADR Campbell (c),5,26,https://www.espncricinfo.com/ci/content/player/55301.html
Zimbabwe,Oct 14-17 1999,A Flower †,28,114,https://www.espncricinfo.com/ci/content/player/55427.html
Zimbabwe,Oct 14-17 1999,NC Johnson,75,186,https://www.espncricinfo.com/ci/content/player/55528.html
Zimbabwe,Oct 14-17 1999,TR Gripper,4,37,https://www.espncricinfo.com/ci/content/player/55463.html
Zimbabwe,Oct 14-17 1999,HH Streak,3,26,https://www.espncricinfo.com/ci/content/player/55761.html
Zimbabwe,Oct 14-17 1999,GJ Whittall,27,42,https://www.espncricinfo.com/ci/content/player/55848.html
Zimbabwe,Oct 14-17 1999,BC Strang,17,21,https://www.espncricinfo.com/ci/content/player/55756.html
Zimbabwe,Oct 14-17 1999,HK Olonga,0,6,https://www.espncricinfo.com/ci/content/player/55675.html
