Country,Date,Name,Runs,Balls,Batsman Profile
India,Dec 26-30 2014,M Vijay,11,28,https://www.espncricinfo.com/ci/content/player/237095.html
India,Dec 26-30 2014,S Dhawan,0,5,https://www.espncricinfo.com/ci/content/player/28235.html
India,Dec 26-30 2014,KL Rahul,1,5,https://www.espncricinfo.com/ci/content/player/422108.html
India,Dec 26-30 2014,V Kohli,54,99,https://www.espncricinfo.com/ci/content/player/253802.html
India,Dec 26-30 2014,AM Rahane,48,117,https://www.espncricinfo.com/ci/content/player/277916.html
India,Dec 26-30 2014,CA Pujara,21,70,https://www.espncricinfo.com/ci/content/player/32540.html
India,Dec 26-30 2014,MS Dhoni (c) †,24,39,https://www.espncricinfo.com/ci/content/player/28081.html
India,Dec 26-30 2014,R Ashwin,8,34,https://www.espncricinfo.com/ci/content/player/26421.html
