Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Dec 26-29 2007,Z Khan,20,2,93,1,https://www.espncricinfo.com/ci/content/player/30102.html
Australia,Dec 26-29 2007,RP Singh,16,1,50,1,https://www.espncricinfo.com/ci/content/player/35280.html
Australia,Dec 26-29 2007,A Kumble,25,2,102,2,https://www.espncricinfo.com/ci/content/player/30176.html
Australia,Dec 26-29 2007,Harbhajan Singh,26,0,101,3,https://www.espncricinfo.com/ci/content/player/29264.html
Australia,Dec 26-29 2007,SR Tendulkar,1,0,2,0,https://www.espncricinfo.com/ci/content/player/35320.html
