Country,Date,Name,Runs,Balls,Batsman Profile
Australia,Feb 1-3 1997,ML Hayden,0,3,https://www.espncricinfo.com/ci/content/player/5616.html
Australia,Feb 1-3 1997,MA Taylor (c),2,5,https://www.espncricinfo.com/ci/content/player/7924.html
Australia,Feb 1-3 1997,GS Blewett,17,65,https://www.espncricinfo.com/ci/content/player/4161.html
Australia,Feb 1-3 1997,ME Waugh,79,170,https://www.espncricinfo.com/ci/content/player/8189.html
Australia,Feb 1-3 1997,SR Waugh,1,20,https://www.espncricinfo.com/ci/content/player/8192.html
Australia,Feb 1-3 1997,MG Bevan,87,164,https://www.espncricinfo.com/ci/content/player/4144.html
Australia,Feb 1-3 1997,IA Healy †,7,15,https://www.espncricinfo.com/ci/content/player/5628.html
Australia,Feb 1-3 1997,PR Reiffel,0,1,https://www.espncricinfo.com/ci/content/player/7326.html
Australia,Feb 1-3 1997,SK Warne,9,29,https://www.espncricinfo.com/ci/content/player/8166.html
Australia,Feb 1-3 1997,AJ Bichel,15,27,https://www.espncricinfo.com/ci/content/player/4146.html
Australia,Feb 1-3 1997,GD McGrath,0,3,https://www.espncricinfo.com/ci/content/player/6565.html
