Country,Date,Name,Runs,Balls,Batsman Profile
England,Dec 14-18 2006,AJ Strauss,0,4,https://www.espncricinfo.com/ci/content/player/20387.html
England,Dec 14-18 2006,AN Cook,116,290,https://www.espncricinfo.com/ci/content/player/11728.html
England,Dec 14-18 2006,IR Bell,87,163,https://www.espncricinfo.com/ci/content/player/9062.html
England,Dec 14-18 2006,PD Collingwood,5,36,https://www.espncricinfo.com/ci/content/player/10772.html
England,Dec 14-18 2006,KP Pietersen,60,150,https://www.espncricinfo.com/ci/content/player/19296.html
England,Dec 14-18 2006,MJ Hoggard,0,2,https://www.espncricinfo.com/ci/content/player/14236.html
England,Dec 14-18 2006,A Flintoff (c),51,67,https://www.espncricinfo.com/ci/content/player/12856.html
England,Dec 14-18 2006,GO Jones †,0,7,https://www.espncricinfo.com/ci/content/player/15501.html
England,Dec 14-18 2006,SI Mahmood,4,10,https://www.espncricinfo.com/ci/content/player/17944.html
England,Dec 14-18 2006,SJ Harmison,0,1,https://www.espncricinfo.com/ci/content/player/14054.html
England,Dec 14-18 2006,MS Panesar,1,9,https://www.espncricinfo.com/ci/content/player/18655.html
