Country,Date,Name,Runs,Balls,Batsman Profile
West Indies,Jun 11-14 2015,KC Brathwaite,4,27,https://www.espncricinfo.com/ci/content/player/348024.html
West Indies,Jun 11-14 2015,R Chandrika,0,7,https://www.espncricinfo.com/ci/content/player/316153.html
West Indies,Jun 11-14 2015,DM Bravo,14,23,https://www.espncricinfo.com/ci/content/player/277472.html
West Indies,Jun 11-14 2015,SO Dowrich,13,31,https://www.espncricinfo.com/ci/content/player/431905.html
West Indies,Jun 11-14 2015,SD Hope,26,63,https://www.espncricinfo.com/ci/content/player/581379.html
West Indies,Jun 11-14 2015,J Blackwood,51,80,https://www.espncricinfo.com/ci/content/player/431909.html
West Indies,Jun 11-14 2015,D Ramdin (c) †,8,24,https://www.espncricinfo.com/ci/content/player/52917.html
West Indies,Jun 11-14 2015,JO Holder,82,63,https://www.espncricinfo.com/ci/content/player/391485.html
West Indies,Jun 11-14 2015,V Permaul,0,4,https://www.espncricinfo.com/ci/content/player/274921.html
West Indies,Jun 11-14 2015,KAJ Roach,7,36,https://www.espncricinfo.com/ci/content/player/230553.html
West Indies,Jun 11-14 2015,JE Taylor,0,2,https://www.espncricinfo.com/ci/content/player/53191.html
