Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
England,Sep 4-8 2019,PJ Cummins,24,9,43,4,https://www.espncricinfo.com/ci/content/player/489889.html
England,Sep 4-8 2019,JR Hazlewood,17.3,5,31,2,https://www.espncricinfo.com/ci/content/player/288284.html
England,Sep 4-8 2019,NM Lyon,29,12,51,2,https://www.espncricinfo.com/ci/content/player/272279.html
England,Sep 4-8 2019,MA Starc,16,2,46,1,https://www.espncricinfo.com/ci/content/player/311592.html
England,Sep 4-8 2019,M Labuschagne,4,1,9,1,https://www.espncricinfo.com/ci/content/player/787987.html
England,Sep 4-8 2019,TM Head,1,1,0,0,https://www.espncricinfo.com/ci/content/player/530011.html
