Country,Date,Name,Runs,Balls,Batsman Profile
England,Feb 1-5 1991,GA Gooch (c),13,33,https://www.espncricinfo.com/ci/content/player/13399.html
England,Feb 1-5 1991,MA Atherton,27,44,https://www.espncricinfo.com/ci/content/player/8579.html
England,Feb 1-5 1991,AJ Lamb,91,122,https://www.espncricinfo.com/ci/content/player/16178.html
England,Feb 1-5 1991,RA Smith,58,121,https://www.espncricinfo.com/ci/content/player/20263.html
England,Feb 1-5 1991,DI Gower,28,52,https://www.espncricinfo.com/ci/content/player/13418.html
England,Feb 1-5 1991,AJ Stewart †,2,9,https://www.espncricinfo.com/ci/content/player/20372.html
England,Feb 1-5 1991,PAJ DeFreitas,5,8,https://www.espncricinfo.com/ci/content/player/11865.html
England,Feb 1-5 1991,PJ Newport,0,1,https://www.espncricinfo.com/ci/content/player/18012.html
England,Feb 1-5 1991,GC Small,0,4,https://www.espncricinfo.com/ci/content/player/20217.html
England,Feb 1-5 1991,PCR Tufnell,0,3,https://www.espncricinfo.com/ci/content/player/21611.html
England,Feb 1-5 1991,DE Malcolm,7,12,https://www.espncricinfo.com/ci/content/player/16885.html
