Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
New Zealand,Feb 20-24 2016,JR Hazlewood,34,11,92,1,https://www.espncricinfo.com/ci/content/player/288284.html
New Zealand,Feb 20-24 2016,JL Pattinson,26,8,77,4,https://www.espncricinfo.com/ci/content/player/272465.html
New Zealand,Feb 20-24 2016,JM Bird,17.1,5,59,5,https://www.espncricinfo.com/ci/content/player/215152.html
New Zealand,Feb 20-24 2016,NM Lyon,17,3,42,0,https://www.espncricinfo.com/ci/content/player/272279.html
New Zealand,Feb 20-24 2016,MR Marsh,17,4,49,0,https://www.espncricinfo.com/ci/content/player/272450.html
