Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Jul 29-31 2015,JM Anderson,8.3,5,15,1,https://www.espncricinfo.com/ci/content/player/8608.html
Australia,Jul 29-31 2015,SCJ Broad,20,4,61,1,https://www.espncricinfo.com/ci/content/player/10617.html
Australia,Jul 29-31 2015,ST Finn,21,3,79,6,https://www.espncricinfo.com/ci/content/player/210283.html
Australia,Jul 29-31 2015,MM Ali,16.1,3,64,1,https://www.espncricinfo.com/ci/content/player/8917.html
Australia,Jul 29-31 2015,BA Stokes,11,3,28,1,https://www.espncricinfo.com/ci/content/player/311158.html
Australia,Jul 29-31 2015,JE Root,2.3,0,7,0,https://www.espncricinfo.com/ci/content/player/303669.html
