Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Aug 6-8 2015,SCJ Broad,9.3,5,15,8,https://www.espncricinfo.com/ci/content/player/10617.html
Australia,Aug 6-8 2015,MA Wood,3,0,13,1,https://www.espncricinfo.com/ci/content/player/351588.html
Australia,Aug 6-8 2015,ST Finn,6,0,21,1,https://www.espncricinfo.com/ci/content/player/210283.html
