Country,Date,Name,Runs,Balls,Batsman Profile
Bangladesh,Aug 27-30 2017,Tamim Iqbal,78,155,https://www.espncricinfo.com/ci/content/player/56194.html
Bangladesh,Aug 27-30 2017,Soumya Sarkar,15,53,https://www.espncricinfo.com/ci/content/player/436677.html
Bangladesh,Aug 27-30 2017,Taijul Islam,4,22,https://www.espncricinfo.com/ci/content/player/401057.html
Bangladesh,Aug 27-30 2017,Imrul Kayes,2,18,https://www.espncricinfo.com/ci/content/player/280734.html
Bangladesh,Aug 27-30 2017,Mushfiqur Rahim (c) †,41,114,https://www.espncricinfo.com/ci/content/player/56029.html
Bangladesh,Aug 27-30 2017,Shakib Al Hasan,5,11,https://www.espncricinfo.com/ci/content/player/56143.html
Bangladesh,Aug 27-30 2017,Sabbir Rahman,22,36,https://www.espncricinfo.com/ci/content/player/373538.html
Bangladesh,Aug 27-30 2017,Nasir Hossain,0,4,https://www.espncricinfo.com/ci/content/player/300618.html
Bangladesh,Aug 27-30 2017,Mehidy Hasan Miraz,26,35,https://www.espncricinfo.com/ci/content/player/629063.html
Bangladesh,Aug 27-30 2017,Shafiul Islam,9,28,https://www.espncricinfo.com/ci/content/player/288305.html
Bangladesh,Aug 27-30 2017,Mustafizur Rahman,0,1,https://www.espncricinfo.com/ci/content/player/330902.html
