Country,Date,Name,Runs,Balls,Batsman Profile
Australia,Aug 23-27 2001,ML Hayden,68,125,https://www.espncricinfo.com/ci/content/player/5616.html
Australia,Aug 23-27 2001,JL Langer,102,186,https://www.espncricinfo.com/ci/content/player/6256.html
Australia,Aug 23-27 2001,RT Ponting,62,102,https://www.espncricinfo.com/ci/content/player/7133.html
Australia,Aug 23-27 2001,ME Waugh,120,176,https://www.espncricinfo.com/ci/content/player/8189.html
Australia,Aug 23-27 2001,SR Waugh (c),157,256,https://www.espncricinfo.com/ci/content/player/8192.html
Australia,Aug 23-27 2001,AC Gilchrist †,25,32,https://www.espncricinfo.com/ci/content/player/5390.html
Australia,Aug 23-27 2001,DR Martyn,64,54,https://www.espncricinfo.com/ci/content/player/6513.html
