Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Pakistan,Jul 21-24 2010,DE Bollinger,13,2,51,3,https://www.espncricinfo.com/ci/content/player/4508.html
Pakistan,Jul 21-24 2010,BW Hilfenhaus,13,2,39,3,https://www.espncricinfo.com/ci/content/player/5941.html
Pakistan,Jul 21-24 2010,MG Johnson,10.4,1,41,1,https://www.espncricinfo.com/ci/content/player/6033.html
Pakistan,Jul 21-24 2010,SR Watson,5,1,18,0,https://www.espncricinfo.com/ci/content/player/8180.html
Pakistan,Jul 21-24 2010,SPD Smith,9,2,24,0,https://www.espncricinfo.com/ci/content/player/267192.html
