Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
England,Dec 14-18 2017,MA Starc,25.1,5,91,4,https://www.espncricinfo.com/ci/content/player/311592.html
England,Dec 14-18 2017,JR Hazlewood,28,9,92,3,https://www.espncricinfo.com/ci/content/player/288284.html
England,Dec 14-18 2017,PJ Cummins,28,8,84,2,https://www.espncricinfo.com/ci/content/player/489889.html
England,Dec 14-18 2017,NM Lyon,22,4,73,1,https://www.espncricinfo.com/ci/content/player/272279.html
England,Dec 14-18 2017,MR Marsh,9,1,43,0,https://www.espncricinfo.com/ci/content/player/272450.html
England,Dec 14-18 2017,SPD Smith,3,1,8,0,https://www.espncricinfo.com/ci/content/player/267192.html
