Country,Date,Name,Runs,Balls,Batsman Profile
India,Oct 14-18 2004,Yuvraj Singh,8,40,https://www.espncricinfo.com/ci/content/player/36084.html
India,Oct 14-18 2004,V Sehwag,155,221,https://www.espncricinfo.com/ci/content/player/35263.html
India,Oct 14-18 2004,IK Pathan,14,63,https://www.espncricinfo.com/ci/content/player/32685.html
India,Oct 14-18 2004,R Dravid,26,95,https://www.espncricinfo.com/ci/content/player/28114.html
India,Oct 14-18 2004,SC Ganguly (c),9,29,https://www.espncricinfo.com/ci/content/player/28779.html
India,Oct 14-18 2004,VVS Laxman,4,19,https://www.espncricinfo.com/ci/content/player/30750.html
India,Oct 14-18 2004,M Kaif,64,158,https://www.espncricinfo.com/ci/content/player/29990.html
India,Oct 14-18 2004,PA Patel †,54,121,https://www.espncricinfo.com/ci/content/player/32242.html
India,Oct 14-18 2004,A Kumble,20,47,https://www.espncricinfo.com/ci/content/player/30176.html
India,Oct 14-18 2004,Harbhajan Singh,5,15,https://www.espncricinfo.com/ci/content/player/29264.html
India,Oct 14-18 2004,Z Khan,0,5,https://www.espncricinfo.com/ci/content/player/30102.html
