Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
India,Oct 14-18 2004,GD McGrath,2,0,18,0,https://www.espncricinfo.com/ci/content/player/6565.html
India,Oct 14-18 2004,JN Gillespie,1,0,1,0,https://www.espncricinfo.com/ci/content/player/5392.html
