Country,Date,Name,Runs,Balls,Batsman Profile
England,Jan 26-30 1995,GA Gooch,34,101,https://www.espncricinfo.com/ci/content/player/13399.html
England,Jan 26-30 1995,MA Atherton (c),14,55,https://www.espncricinfo.com/ci/content/player/8579.html
England,Jan 26-30 1995,MW Gatting,0,5,https://www.espncricinfo.com/ci/content/player/13340.html
England,Jan 26-30 1995,GP Thorpe,83,117,https://www.espncricinfo.com/ci/content/player/21537.html
England,Jan 26-30 1995,JP Crawley,71,152,https://www.espncricinfo.com/ci/content/player/10870.html
England,Jan 26-30 1995,SJ Rhodes †,2,8,https://www.espncricinfo.com/ci/content/player/19374.html
England,Jan 26-30 1995,CC Lewis,7,19,https://www.espncricinfo.com/ci/content/player/16274.html
England,Jan 26-30 1995,PAJ DeFreitas,88,95,https://www.espncricinfo.com/ci/content/player/11865.html
England,Jan 26-30 1995,ARC Fraser,5,11,https://www.espncricinfo.com/ci/content/player/12909.html
England,Jan 26-30 1995,DE Malcolm,10,4,https://www.espncricinfo.com/ci/content/player/16885.html
England,Jan 26-30 1995,PCR Tufnell,0,3,https://www.espncricinfo.com/ci/content/player/21611.html
