Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Dec 14-18 2018,I Sharma,20.3,7,41,4,https://www.espncricinfo.com/ci/content/player/236779.html
Australia,Dec 14-18 2018,JJ Bumrah,26,8,53,2,https://www.espncricinfo.com/ci/content/player/625383.html
Australia,Dec 14-18 2018,UT Yadav,23,3,78,2,https://www.espncricinfo.com/ci/content/player/376116.html
Australia,Dec 14-18 2018,Mohammed Shami,24,3,80,0,https://www.espncricinfo.com/ci/content/player/481896.html
Australia,Dec 14-18 2018,GH Vihari,14,1,53,2,https://www.espncricinfo.com/ci/content/player/452044.html
Australia,Dec 14-18 2018,M Vijay,1,0,10,0,https://www.espncricinfo.com/ci/content/player/237095.html
