Country,Date,Name,Runs,Balls,Batsman Profile
South Africa,Mar 17-21 1994,AC Hudson,49,146,https://www.espncricinfo.com/ci/content/player/45458.html
South Africa,Mar 17-21 1994,G Kirsten,10,28,https://www.espncricinfo.com/ci/content/player/45813.html
South Africa,Mar 17-21 1994,WJ Cronje,19,48,https://www.espncricinfo.com/ci/content/player/44485.html
South Africa,Mar 17-21 1994,KC Wessels (c),9,18,https://www.espncricinfo.com/ci/content/player/47884.html
South Africa,Mar 17-21 1994,PN Kirsten,3,14,https://www.espncricinfo.com/ci/content/player/45815.html
South Africa,Mar 17-21 1994,JN Rhodes,27,149,https://www.espncricinfo.com/ci/content/player/46973.html
South Africa,Mar 17-21 1994,PS de Villiers,0,3,https://www.espncricinfo.com/ci/content/player/44696.html
South Africa,Mar 17-21 1994,BM McMillan,3,25,https://www.espncricinfo.com/ci/content/player/46214.html
South Africa,Mar 17-21 1994,DJ Richardson †,31,112,https://www.espncricinfo.com/ci/content/player/46978.html
South Africa,Mar 17-21 1994,CR Matthews,0,1,https://www.espncricinfo.com/ci/content/player/46189.html
South Africa,Mar 17-21 1994,AA Donald,0,2,https://www.espncricinfo.com/ci/content/player/44716.html
