Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Australia,Jan 30 - Feb 3 1998,SM Pollock,30.4,12,61,2,https://www.espncricinfo.com/ci/content/player/46774.html
Australia,Jan 30 - Feb 3 1998,L Klusener,30,10,67,4,https://www.espncricinfo.com/ci/content/player/45821.html
Australia,Jan 30 - Feb 3 1998,JH Kallis,16,10,20,1,https://www.espncricinfo.com/ci/content/player/45789.html
Australia,Jan 30 - Feb 3 1998,PL Symcox,18,2,42,0,https://www.espncricinfo.com/ci/content/player/47267.html
Australia,Jan 30 - Feb 3 1998,BM McMillan,13,2,33,0,https://www.espncricinfo.com/ci/content/player/46214.html
Australia,Jan 30 - Feb 3 1998,WJ Cronje,1,0,2,0,https://www.espncricinfo.com/ci/content/player/44485.html
