Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
South Africa,Mar 6-10 2009,MG Johnson,33,9,78,1,https://www.espncricinfo.com/ci/content/player/6033.html
South Africa,Mar 6-10 2009,BW Hilfenhaus,24,4,79,1,https://www.espncricinfo.com/ci/content/player/5941.html
South Africa,Mar 6-10 2009,PM Siddle,28,12,61,3,https://www.espncricinfo.com/ci/content/player/7898.html
South Africa,Mar 6-10 2009,AB McDonald,16,3,47,0,https://www.espncricinfo.com/ci/content/player/6553.html
South Africa,Mar 6-10 2009,MJ North,20,6,36,1,https://www.espncricinfo.com/ci/content/player/6943.html
South Africa,Mar 6-10 2009,SM Katich,11.2,1,45,3,https://www.espncricinfo.com/ci/content/player/6128.html
