Country,Date,Name,Runs,Balls,Batsman Profile
Australia,Dec 26-30 2009,SR Watson,120,220,https://www.espncricinfo.com/ci/content/player/8180.html
Australia,Dec 26-30 2009,SM Katich,2,15,https://www.espncricinfo.com/ci/content/player/6128.html
Australia,Dec 26-30 2009,RT Ponting (c),12,14,https://www.espncricinfo.com/ci/content/player/7133.html
Australia,Dec 26-30 2009,MEK Hussey,4,3,https://www.espncricinfo.com/ci/content/player/5939.html
Australia,Dec 26-30 2009,MJ Clarke,37,90,https://www.espncricinfo.com/ci/content/player/4578.html
Australia,Dec 26-30 2009,MJ North,8,17,https://www.espncricinfo.com/ci/content/player/6943.html
Australia,Dec 26-30 2009,BJ Haddin †,0,2,https://www.espncricinfo.com/ci/content/player/5560.html
Australia,Dec 26-30 2009,MG Johnson,22,58,https://www.espncricinfo.com/ci/content/player/6033.html
Australia,Dec 26-30 2009,NM Hauritz,8,27,https://www.espncricinfo.com/ci/content/player/5593.html
