Country,Date,Name,Runs,Balls,Batsman Profile
Australia,Sep 22-26 1999,MJ Slater,96,220,https://www.espncricinfo.com/ci/content/player/7629.html
Australia,Sep 22-26 1999,GS Blewett,62,182,https://www.espncricinfo.com/ci/content/player/4161.html
Australia,Sep 22-26 1999,JL Langer,7,40,https://www.espncricinfo.com/ci/content/player/6256.html
Australia,Sep 22-26 1999,ME Waugh,10,29,https://www.espncricinfo.com/ci/content/player/8189.html
Australia,Sep 22-26 1999,SR Waugh (c),19,49,https://www.espncricinfo.com/ci/content/player/8192.html
Australia,Sep 22-26 1999,IA Healy †,4,14,https://www.espncricinfo.com/ci/content/player/5628.html
Australia,Sep 22-26 1999,RT Ponting,1,12,https://www.espncricinfo.com/ci/content/player/7133.html
Australia,Sep 22-26 1999,SK Warne,0,2,https://www.espncricinfo.com/ci/content/player/8166.html
Australia,Sep 22-26 1999,DW Fleming,16,21,https://www.espncricinfo.com/ci/content/player/5239.html
Australia,Sep 22-26 1999,CR Miller,6,10,https://www.espncricinfo.com/ci/content/player/6607.html
Australia,Sep 22-26 1999,GD McGrath,0,2,https://www.espncricinfo.com/ci/content/player/6565.html
