Country,Date,Name,Runs,Balls,Batsman Profile
Australia,Oct 17-21 2008,ML Hayden,29,20,https://www.espncricinfo.com/ci/content/player/5616.html
Australia,Oct 17-21 2008,SM Katich,20,26,https://www.espncricinfo.com/ci/content/player/6128.html
Australia,Oct 17-21 2008,RT Ponting (c),2,11,https://www.espncricinfo.com/ci/content/player/7133.html
Australia,Oct 17-21 2008,MEK Hussey,1,4,https://www.espncricinfo.com/ci/content/player/5939.html
Australia,Oct 17-21 2008,MJ Clarke,69,152,https://www.espncricinfo.com/ci/content/player/4578.html
Australia,Oct 17-21 2008,SR Watson,2,22,https://www.espncricinfo.com/ci/content/player/8180.html
Australia,Oct 17-21 2008,BJ Haddin †,37,105,https://www.espncricinfo.com/ci/content/player/5560.html
Australia,Oct 17-21 2008,CL White,1,3,https://www.espncricinfo.com/ci/content/player/8291.html
Australia,Oct 17-21 2008,B Lee,0,1,https://www.espncricinfo.com/ci/content/player/6278.html
Australia,Oct 17-21 2008,MG Johnson,26,44,https://www.espncricinfo.com/ci/content/player/6033.html
Australia,Oct 17-21 2008,PM Siddle,0,4,https://www.espncricinfo.com/ci/content/player/7898.html
