Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
West Indies,Apr 10-13 2003,SCG MacGill,31,5,140,3,https://www.espncricinfo.com/ci/content/player/6441.html
West Indies,Apr 10-13 2003,GB Hogg,15,0,68,1,https://www.espncricinfo.com/ci/content/player/5681.html
West Indies,Apr 10-13 2003,B Lee,14,4,57,0,https://www.espncricinfo.com/ci/content/player/6278.html
West Indies,Apr 10-13 2003,JN Gillespie,20.2,5,39,5,https://www.espncricinfo.com/ci/content/player/5392.html
West Indies,Apr 10-13 2003,AJ Bichel,13,4,40,0,https://www.espncricinfo.com/ci/content/player/4146.html
West Indies,Apr 10-13 2003,SR Waugh,8,1,29,0,https://www.espncricinfo.com/ci/content/player/8192.html
West Indies,Apr 10-13 2003,DS Lehmann,4,0,6,1,https://www.espncricinfo.com/ci/content/player/6285.html
