Country,Date,Name,Runs,Balls,Batsman Profile
India,Dec 9-13 2014,M Vijay,99,234,https://www.espncricinfo.com/ci/content/player/237095.html
India,Dec 9-13 2014,S Dhawan,9,8,https://www.espncricinfo.com/ci/content/player/28235.html
India,Dec 9-13 2014,CA Pujara,21,38,https://www.espncricinfo.com/ci/content/player/32540.html
India,Dec 9-13 2014,V Kohli (c),141,175,https://www.espncricinfo.com/ci/content/player/253802.html
India,Dec 9-13 2014,AM Rahane,0,5,https://www.espncricinfo.com/ci/content/player/277916.html
India,Dec 9-13 2014,RG Sharma,6,18,https://www.espncricinfo.com/ci/content/player/34102.html
India,Dec 9-13 2014,WP Saha †,13,10,https://www.espncricinfo.com/ci/content/player/279810.html
India,Dec 9-13 2014,KV Sharma,4,20,https://www.espncricinfo.com/ci/content/player/30288.html
India,Dec 9-13 2014,Mohammed Shami,5,10,https://www.espncricinfo.com/ci/content/player/481896.html
India,Dec 9-13 2014,VR Aaron,1,3,https://www.espncricinfo.com/ci/content/player/360911.html
India,Dec 9-13 2014,I Sharma,0,2,https://www.espncricinfo.com/ci/content/player/236779.html
