Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
Pakistan,Nov 9-13 1995,CJ McDermott,11,4,32,1,https://www.espncricinfo.com/ci/content/player/6551.html
Pakistan,Nov 9-13 1995,GD McGrath,14,3,33,1,https://www.espncricinfo.com/ci/content/player/6565.html
Pakistan,Nov 9-13 1995,SK Warne,16.1,9,23,7,https://www.espncricinfo.com/ci/content/player/8166.html
