Country,Date,Name,Runs,Balls,Batsman Profile
South Africa,Dec 17-21 2008,ND McKenzie,2,31,https://www.espncricinfo.com/ci/content/player/46208.html
South Africa,Dec 17-21 2008,GC Smith (c),48,94,https://www.espncricinfo.com/ci/content/player/47270.html
South Africa,Dec 17-21 2008,HM Amla,47,67,https://www.espncricinfo.com/ci/content/player/43906.html
South Africa,Dec 17-21 2008,JH Kallis,63,111,https://www.espncricinfo.com/ci/content/player/45789.html
South Africa,Dec 17-21 2008,AB de Villiers,63,130,https://www.espncricinfo.com/ci/content/player/44936.html
South Africa,Dec 17-21 2008,JP Duminy,1,11,https://www.espncricinfo.com/ci/content/player/44932.html
South Africa,Dec 17-21 2008,MV Boucher †,26,65,https://www.espncricinfo.com/ci/content/player/44111.html
South Africa,Dec 17-21 2008,M Morkel,1,10,https://www.espncricinfo.com/ci/content/player/46538.html
South Africa,Dec 17-21 2008,PL Harris,0,3,https://www.espncricinfo.com/ci/content/player/45568.html
South Africa,Dec 17-21 2008,DW Steyn,8,9,https://www.espncricinfo.com/ci/content/player/47492.html
South Africa,Dec 17-21 2008,M Ntini,5,15,https://www.espncricinfo.com/ci/content/player/46592.html
