Country,Date,Name,Runs,Balls,Batsman Profile
England,Aug 4-7 2005,ME Trescothick,21,38,https://www.espncricinfo.com/ci/content/player/21585.html
England,Aug 4-7 2005,AJ Strauss,6,12,https://www.espncricinfo.com/ci/content/player/20387.html
England,Aug 4-7 2005,MJ Hoggard,1,27,https://www.espncricinfo.com/ci/content/player/14236.html
England,Aug 4-7 2005,MP Vaughan (c),1,2,https://www.espncricinfo.com/ci/content/player/22182.html
England,Aug 4-7 2005,IR Bell,21,43,https://www.espncricinfo.com/ci/content/player/9062.html
England,Aug 4-7 2005,KP Pietersen,20,35,https://www.espncricinfo.com/ci/content/player/19296.html
England,Aug 4-7 2005,A Flintoff,73,86,https://www.espncricinfo.com/ci/content/player/12856.html
England,Aug 4-7 2005,GO Jones †,9,19,https://www.espncricinfo.com/ci/content/player/15501.html
England,Aug 4-7 2005,AF Giles,8,36,https://www.espncricinfo.com/ci/content/player/13368.html
England,Aug 4-7 2005,SJ Harmison,0,1,https://www.espncricinfo.com/ci/content/player/14054.html
England,Aug 4-7 2005,SP Jones,12,23,https://www.espncricinfo.com/ci/content/player/15555.html
