Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
India,Nov 6-10 2008,MG Johnson,14,4,22,0,https://www.espncricinfo.com/ci/content/player/6033.html
India,Nov 6-10 2008,B Lee,10,3,27,1,https://www.espncricinfo.com/ci/content/player/6278.html
India,Nov 6-10 2008,JJ Krejza,31,3,143,4,https://www.espncricinfo.com/ci/content/player/6235.html
India,Nov 6-10 2008,SR Watson,15.4,2,42,4,https://www.espncricinfo.com/ci/content/player/8180.html
India,Nov 6-10 2008,CL White,2,0,15,0,https://www.espncricinfo.com/ci/content/player/8291.html
India,Nov 6-10 2008,MEK Hussey,4,2,3,0,https://www.espncricinfo.com/ci/content/player/5939.html
India,Nov 6-10 2008,MJ Clarke,6,1,29,0,https://www.espncricinfo.com/ci/content/player/4578.html
