Country,Date,Name,Runs,Balls,Batsman Profile
South Africa,Mar 22-25 2018,D Elgar,141,284,https://www.espncricinfo.com/ci/content/player/230852.html
South Africa,Mar 22-25 2018,AK Markram,0,11,https://www.espncricinfo.com/ci/content/player/600498.html
South Africa,Mar 22-25 2018,HM Amla,31,87,https://www.espncricinfo.com/ci/content/player/43906.html
South Africa,Mar 22-25 2018,AB de Villiers,64,95,https://www.espncricinfo.com/ci/content/player/44936.html
South Africa,Mar 22-25 2018,F du Plessis (c),5,14,https://www.espncricinfo.com/ci/content/player/44828.html
South Africa,Mar 22-25 2018,T Bavuma,1,12,https://www.espncricinfo.com/ci/content/player/372116.html
South Africa,Mar 22-25 2018,Q de Kock †,3,11,https://www.espncricinfo.com/ci/content/player/379143.html
South Africa,Mar 22-25 2018,VD Philander,8,23,https://www.espncricinfo.com/ci/content/player/46945.html
South Africa,Mar 22-25 2018,KA Maharaj,3,7,https://www.espncricinfo.com/ci/content/player/267724.html
South Africa,Mar 22-25 2018,K Rabada,22,42,https://www.espncricinfo.com/ci/content/player/550215.html
South Africa,Mar 22-25 2018,M Morkel,4,4,https://www.espncricinfo.com/ci/content/player/46538.html
