Country,Date,Name,Runs,Balls,Batsman Profile
England,Aug 16-20 2001,MA Atherton,22,54,https://www.espncricinfo.com/ci/content/player/8579.html
England,Aug 16-20 2001,ME Trescothick,37,73,https://www.espncricinfo.com/ci/content/player/21585.html
England,Aug 16-20 2001,MA Butcher,47,110,https://www.espncricinfo.com/ci/content/player/9327.html
England,Aug 16-20 2001,N Hussain (c),46,97,https://www.espncricinfo.com/ci/content/player/14325.html
England,Aug 16-20 2001,MR Ramprakash,40,102,https://www.espncricinfo.com/ci/content/player/19323.html
England,Aug 16-20 2001,U Afzaal,14,18,https://www.espncricinfo.com/ci/content/player/8499.html
England,Aug 16-20 2001,AJ Stewart †,76,83,https://www.espncricinfo.com/ci/content/player/20372.html
England,Aug 16-20 2001,AJ Tudor,2,4,https://www.espncricinfo.com/ci/content/player/21607.html
England,Aug 16-20 2001,AR Caddick,5,13,https://www.espncricinfo.com/ci/content/player/10633.html
England,Aug 16-20 2001,D Gough,8,6,https://www.espncricinfo.com/ci/content/player/13411.html
England,Aug 16-20 2001,AD Mullally,0,13,https://www.espncricinfo.com/ci/content/player/17121.html
