Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
India,Dec 6-10 2018,MA Starc,21.5,7,40,3,https://www.espncricinfo.com/ci/content/player/311592.html
India,Dec 6-10 2018,JR Hazlewood,23,13,43,1,https://www.espncricinfo.com/ci/content/player/288284.html
India,Dec 6-10 2018,PJ Cummins,18,4,55,0,https://www.espncricinfo.com/ci/content/player/489889.html
India,Dec 6-10 2018,NM Lyon,42,7,122,6,https://www.espncricinfo.com/ci/content/player/272279.html
India,Dec 6-10 2018,TM Head,2,0,13,0,https://www.espncricinfo.com/ci/content/player/530011.html
