Country,Date,Name,Runs,Balls,Batsman Profile
South Africa,Dec 14-18 2001,HH Gibbs,78,187,https://www.espncricinfo.com/ci/content/player/45224.html
South Africa,Dec 14-18 2001,G Kirsten,47,86,https://www.espncricinfo.com/ci/content/player/45813.html
South Africa,Dec 14-18 2001,HH Dippenaar,4,7,https://www.espncricinfo.com/ci/content/player/44708.html
South Africa,Dec 14-18 2001,CW Henderson,30,66,https://www.espncricinfo.com/ci/content/player/45431.html
South Africa,Dec 14-18 2001,JH Kallis,5,33,https://www.espncricinfo.com/ci/content/player/45789.html
South Africa,Dec 14-18 2001,ND McKenzie,87,168,https://www.espncricinfo.com/ci/content/player/46208.html
South Africa,Dec 14-18 2001,L Klusener,22,24,https://www.espncricinfo.com/ci/content/player/45821.html
South Africa,Dec 14-18 2001,MV Boucher †,64,149,https://www.espncricinfo.com/ci/content/player/44111.html
South Africa,Dec 14-18 2001,SM Pollock (c),0,1,https://www.espncricinfo.com/ci/content/player/46774.html
South Africa,Dec 14-18 2001,M Ntini,9,14,https://www.espncricinfo.com/ci/content/player/46592.html
South Africa,Dec 14-18 2001,M Hayward,0,5,https://www.espncricinfo.com/ci/content/player/45419.html
