Country,Date,Name,Runs,Balls,Batsman Profile
England,Jan 2-5 1999,MA Butcher,36,70,https://www.espncricinfo.com/ci/content/player/9327.html
England,Jan 2-5 1999,AJ Stewart (c),3,17,https://www.espncricinfo.com/ci/content/player/20372.html
England,Jan 2-5 1999,N Hussain,42,126,https://www.espncricinfo.com/ci/content/player/14325.html
England,Jan 2-5 1999,MR Ramprakash,14,42,https://www.espncricinfo.com/ci/content/player/19323.html
England,Jan 2-5 1999,GA Hick,23,38,https://www.espncricinfo.com/ci/content/player/14187.html
England,Jan 2-5 1999,JP Crawley,44,75,https://www.espncricinfo.com/ci/content/player/10870.html
England,Jan 2-5 1999,WK Hegg †,15,50,https://www.espncricinfo.com/ci/content/player/14149.html
England,Jan 2-5 1999,AJ Tudor,14,40,https://www.espncricinfo.com/ci/content/player/21607.html
England,Jan 2-5 1999,DW Headley,8,20,https://www.espncricinfo.com/ci/content/player/14127.html
England,Jan 2-5 1999,D Gough,0,2,https://www.espncricinfo.com/ci/content/player/13411.html
England,Jan 2-5 1999,PM Such,0,4,https://www.espncricinfo.com/ci/content/player/20404.html
