Country,Date,Name,Runs,Balls,Batsman Profile
India,Mar 14-18 2013,M Vijay,26,33,https://www.espncricinfo.com/ci/content/player/237095.html
India,Mar 14-18 2013,CA Pujara,28,51,https://www.espncricinfo.com/ci/content/player/32540.html
India,Mar 14-18 2013,V Kohli,34,61,https://www.espncricinfo.com/ci/content/player/253802.html
India,Mar 14-18 2013,SR Tendulkar,21,23,https://www.espncricinfo.com/ci/content/player/35320.html
India,Mar 14-18 2013,MS Dhoni (c) †,18,28,https://www.espncricinfo.com/ci/content/player/28081.html
India,Mar 14-18 2013,RA Jadeja,8,5,https://www.espncricinfo.com/ci/content/player/234675.html
