Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
England,Jun 17-21 1993,MG Hughes,31,9,75,0,https://www.espncricinfo.com/ci/content/player/5726.html
England,Jun 17-21 1993,ME Waugh,17,4,55,0,https://www.espncricinfo.com/ci/content/player/8189.html
England,Jun 17-21 1993,TBA May,51,23,81,4,https://www.espncricinfo.com/ci/content/player/6534.html
England,Jun 17-21 1993,SR Waugh,2,0,13,0,https://www.espncricinfo.com/ci/content/player/8192.html
England,Jun 17-21 1993,SK Warne,48.5,17,102,4,https://www.espncricinfo.com/ci/content/player/8166.html
England,Jun 17-21 1993,AR Border,16,9,16,1,https://www.espncricinfo.com/ci/content/player/4174.html
