Country,Date,Name,Runs,Balls,Batsman Profile
Australia,Sep 8-12 2011,SR Watson,36,57,https://www.espncricinfo.com/ci/content/player/8180.html
Australia,Sep 8-12 2011,PJ Hughes,36,116,https://www.espncricinfo.com/ci/content/player/272364.html
Australia,Sep 8-12 2011,SE Marsh,141,315,https://www.espncricinfo.com/ci/content/player/6683.html
Australia,Sep 8-12 2011,MJ Clarke (c),13,20,https://www.espncricinfo.com/ci/content/player/4578.html
Australia,Sep 8-12 2011,MEK Hussey,142,244,https://www.espncricinfo.com/ci/content/player/5939.html
Australia,Sep 8-12 2011,UT Khawaja,13,32,https://www.espncricinfo.com/ci/content/player/215155.html
Australia,Sep 8-12 2011,BJ Haddin †,1,5,https://www.espncricinfo.com/ci/content/player/5560.html
Australia,Sep 8-12 2011,MG Johnson,0,1,https://www.espncricinfo.com/ci/content/player/6033.html
Australia,Sep 8-12 2011,RJ Harris,9,12,https://www.espncricinfo.com/ci/content/player/5779.html
