Country,Date,Name,Overs,Maidens,Runs,Wickets,Bowler Profile
South Africa,Jan 28 - Feb 1 1994,CJ McDermott,19,8,33,4,https://www.espncricinfo.com/ci/content/player/6551.html
South Africa,Jan 28 - Feb 1 1994,PR Reiffel,11,4,15,0,https://www.espncricinfo.com/ci/content/player/7326.html
South Africa,Jan 28 - Feb 1 1994,SK Warne,30.5,15,31,4,https://www.espncricinfo.com/ci/content/player/8166.html
South Africa,Jan 28 - Feb 1 1994,TBA May,32,20,26,2,https://www.espncricinfo.com/ci/content/player/6534.html
South Africa,Jan 28 - Feb 1 1994,SR Waugh,6,3,4,0,https://www.espncricinfo.com/ci/content/player/8192.html
South Africa,Jan 28 - Feb 1 1994,AR Border,4,3,1,0,https://www.espncricinfo.com/ci/content/player/4174.html
South Africa,Jan 28 - Feb 1 1994,ME Waugh,3,2,3,0,https://www.espncricinfo.com/ci/content/player/8189.html
